Device,TestName,Date,X-Position,Y-Position,Z-Position,X-Rotation,Y-Rotation,Z-Rotation
Focus3,FirstBigTest,2022-05-11T15:06:42,-0.6105213,1.250359,-3.116988,0.06478921,-0.03971826,0.002627066
Focus3,FirstBigTest,2022-05-11T15:06:42,-0.6104674,1.25025,-3.116938,0.06463531,-0.03975536,0.002622244
Focus3,FirstBigTest,2022-05-11T15:06:42,-0.6105376,1.250304,-3.116964,0.064615,-0.03975165,0.002573126
Focus3,FirstBigTest,2022-05-11T15:06:43,-0.6105468,1.250302,-3.116987,0.06476898,-0.03971984,0.002654535
Focus3,FirstBigTest,2022-05-11T15:06:43,-0.6106013,1.250236,-3.116961,0.06462201,-0.03974527,0.002612599
Focus3,FirstBigTest,2022-05-11T15:06:43,-0.6105852,1.250205,-3.116822,0.06473026,-0.03968056,0.002548266
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6105952,1.250172,-3.1167,0.06465647,-0.03968382,0.002615405
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106789,1.250169,-3.11689,0.06471682,-0.03968439,0.002613075
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106753,1.250228,-3.116959,0.06474823,-0.03969814,0.002627004
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6106755,1.250218,-3.117007,0.06463675,-0.03969252,0.002664726
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6106126,1.250254,-3.116948,0.06472383,-0.03967365,0.002713886
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.610536,1.250254,-3.116958,0.06470395,-0.03971975,0.002710481
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6105603,1.250233,-3.116925,0.06461184,-0.03973842,0.002639773
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6105916,1.250225,-3.116965,0.06483227,-0.03969407,0.002673323
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6107315,1.250198,-3.116955,0.06469889,-0.03970873,0.002634984
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6106538,1.250215,-3.116996,0.06475489,-0.03968717,0.002654531
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6107308,1.250212,-3.117089,0.06478108,-0.03970539,0.002631881
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6107125,1.250224,-3.117076,0.06466606,-0.03968854,0.002681
Focus3,FirstBigTest,2022-05-11T15:06:48,-0.6106547,1.250267,-3.11715,0.06484468,-0.03970978,0.002738099
Focus3,FirstBigTest,2022-05-11T15:06:48,-0.610624,1.250192,-3.117115,0.06466082,-0.03974985,0.002696619
Focus3,FirstBigTest,2022-05-11T15:06:48,-0.6106104,1.250198,-3.117151,0.06469961,-0.03974033,0.002753191
Focus3,FirstBigTest,2022-05-11T15:06:49,-0.6106312,1.250178,-3.117099,0.06473714,-0.03974828,0.002735751
Focus3,FirstBigTest,2022-05-11T15:06:49,-0.6106557,1.250169,-3.117058,0.06460603,-0.0397935,0.002681973
Focus3,FirstBigTest,2022-05-11T15:06:49,-0.6107324,1.250107,-3.117023,0.06479945,-0.03983514,0.002679177
Focus3,FirstBigTest,2022-05-11T15:06:50,-0.610765,1.2501,-3.116966,0.06470461,-0.03979878,0.002732914
Focus3,FirstBigTest,2022-05-11T15:06:50,-0.6108055,1.250163,-3.117007,0.06463496,-0.03978555,0.002641255
Focus3,FirstBigTest,2022-05-11T15:06:50,-0.6106971,1.250208,-3.117066,0.0647765,-0.03983461,0.002674009
Focus3,FirstBigTest,2022-05-11T15:06:51,-0.6107472,1.250202,-3.117061,0.06468158,-0.03982373,0.002748071
Focus3,FirstBigTest,2022-05-11T15:06:51,-0.6107507,1.250166,-3.117088,0.06469443,-0.03976088,0.002698425
Focus3,FirstBigTest,2022-05-11T15:06:51,-0.6107903,1.250162,-3.117067,0.06475756,-0.03977327,0.002762417
Focus3,FirstBigTest,2022-05-11T15:06:52,-0.6107939,1.25015,-3.117049,0.06467336,-0.03983938,0.002746642
Focus3,FirstBigTest,2022-05-11T15:06:52,-0.6107913,1.250172,-3.117095,0.06477837,-0.03981051,0.002732613
Focus3,FirstBigTest,2022-05-11T15:06:52,-0.6107869,1.250107,-3.117134,0.0647727,-0.03982421,0.002746186
Focus3,FirstBigTest,2022-05-11T15:06:53,-0.6108082,1.250104,-3.117186,0.06464101,-0.03979341,0.002785476
Focus3,FirstBigTest,2022-05-11T15:06:53,-0.6108066,1.250161,-3.117159,0.06473068,-0.03980745,0.002757122
Focus3,FirstBigTest,2022-05-11T15:06:53,-0.6107923,1.250221,-3.117043,0.06465573,-0.03981438,0.002755243
Focus3,FirstBigTest,2022-05-11T15:06:54,-0.6107907,1.250286,-3.117084,0.06472478,-0.03982326,0.002848336
Focus3,FirstBigTest,2022-05-11T15:06:54,-0.6107975,1.250265,-3.117143,0.06478712,-0.03984046,0.002804054
Focus3,FirstBigTest,2022-05-11T15:06:54,-0.610656,1.250203,-3.11715,0.06471589,-0.03982206,0.002814215
Focus3,FirstBigTest,2022-05-11T15:06:55,-0.6105888,1.25015,-3.117212,0.0647937,-0.03979835,0.002799965
Focus3,FirstBigTest,2022-05-11T15:06:55,-0.6106527,1.250118,-3.117195,0.06473288,-0.03985427,0.002838888
Focus3,FirstBigTest,2022-05-11T15:06:55,-0.6107404,1.25013,-3.117215,0.06467081,-0.03975875,0.002755775
Focus3,FirstBigTest,2022-05-11T15:06:56,-0.6107873,1.250265,-3.117264,0.06481925,-0.03982433,0.002717997
Focus3,FirstBigTest,2022-05-11T15:06:56,-0.6109622,1.250201,-3.117248,0.06469614,-0.03952604,0.002358725
Focus3,FirstBigTest,2022-05-11T15:06:56,-0.6108845,1.25011,-3.117306,0.06467591,-0.03968108,0.002621683
Focus3,FirstBigTest,2022-05-11T15:06:57,-0.6107168,1.250144,-3.114077,0.06500855,-0.03987335,0.002682636
Focus3,FirstBigTest,2022-05-11T15:06:57,-0.6144882,1.25073,-3.090386,0.06519687,-0.04085971,0.002502425
Focus3,FirstBigTest,2022-05-11T15:06:57,-0.6179879,1.251527,-3.022375,0.06581992,-0.04282649,0.002514234
Focus3,FirstBigTest,2022-05-11T15:06:58,-0.6106277,1.253004,-2.912438,0.0664448,-0.04580845,0.001430825
Focus3,FirstBigTest,2022-05-11T15:06:58,-0.5878001,1.25417,-2.776993,0.06564122,-0.04254422,0.002609325
Focus3,FirstBigTest,2022-05-11T15:06:58,-0.5517671,1.252753,-2.612581,0.06495271,-0.05161161,0.001593023
Focus3,FirstBigTest,2022-05-11T15:06:59,-0.516517,1.25206,-2.426871,0.0696236,-0.05842075,0.002687218
Focus3,FirstBigTest,2022-05-11T15:06:59,-0.4808676,1.252291,-2.240585,0.06747267,-0.06336346,0.001862132
Focus3,FirstBigTest,2022-05-11T15:06:59,-0.4545471,1.249474,-2.067586,0.06083286,-0.06637879,0.004692085
Focus3,FirstBigTest,2022-05-11T15:07:00,-0.4330922,1.251176,-1.91694,0.0687087,-0.0674978,0.0005126463
Focus3,FirstBigTest,2022-05-11T15:07:00,-0.3970844,1.250357,-1.736558,0.06574625,-0.07368974,0.002455478
Focus3,FirstBigTest,2022-05-11T15:07:00,-0.3495776,1.250263,-1.526752,0.0617975,-0.07102041,-0.0005530186
Focus3,FirstBigTest,2022-05-11T15:07:01,-0.3031903,1.250696,-1.326377,0.06481934,-0.06819701,-0.0008024228
Focus3,FirstBigTest,2022-05-11T15:07:01,-0.2600093,1.250594,-1.120199,0.06531545,-0.06097017,-0.002283838
Focus3,FirstBigTest,2022-05-11T15:07:01,-0.2225821,1.249887,-0.9187672,0.06230439,-0.05377018,0.0002251677
Focus3,FirstBigTest,2022-05-11T15:07:02,-0.1945594,1.250076,-0.7381929,0.0644566,-0.04664168,-0.002097158
Focus3,FirstBigTest,2022-05-11T15:07:02,-0.1759773,1.248971,-0.5825209,0.06859644,-0.03190374,-0.003014204
Focus3,FirstBigTest,2022-05-11T15:07:02,-0.15947,1.249929,-0.4526604,0.06689344,-0.02387848,0.0006558701
Focus3,FirstBigTest,2022-05-11T15:07:03,-0.1513031,1.250116,-0.336752,0.06472134,-0.0116844,2.583109E-05
Focus3,FirstBigTest,2022-05-11T15:07:03,-0.1504383,1.250648,-0.2242491,0.06213035,-0.002066255,0.003348086
Focus3,FirstBigTest,2022-05-11T15:07:03,-0.1290358,1.251695,-0.1052127,0.06298588,-0.007647058,0.002323223
Focus3,FirstBigTest,2022-05-11T15:07:04,-0.1126793,1.253141,0.01977496,0.06743253,-0.0102262,0.003014079
Focus3,FirstBigTest,2022-05-11T15:07:04,-0.09146379,1.253209,0.1895417,0.06451068,-0.006398163,0.001202079
Focus3,FirstBigTest,2022-05-11T15:07:04,-0.05178841,1.254212,0.3639952,0.066658,-0.01337295,0.006655512
Focus3,FirstBigTest,2022-05-11T15:07:05,-0.03011229,1.253771,0.516911,0.07075717,-0.002643189,0.005258345
Focus3,FirstBigTest,2022-05-11T15:07:05,-0.02541796,1.253507,0.668215,0.06819181,0.004777999,0.002191592
Focus3,FirstBigTest,2022-05-11T15:07:05,-0.04609334,1.252315,0.8107155,0.06775697,0.001619519,0.001097002
Focus3,FirstBigTest,2022-05-11T15:07:06,-0.06036236,1.253717,0.9254047,0.0697078,-0.01048509,0.001041637
Focus3,FirstBigTest,2022-05-11T15:07:06,-0.07956976,1.254505,1.027151,0.07081667,-0.01941356,9.853801E-05
Focus3,FirstBigTest,2022-05-11T15:07:06,-0.0898599,1.25527,1.122245,0.06571661,-0.02360248,0.001913338
Focus3,FirstBigTest,2022-05-11T15:07:07,-0.08931395,1.253296,1.207722,0.06306804,-0.03137642,-0.002952452
Focus3,FirstBigTest,2022-05-11T15:07:07,-0.07746333,1.25239,1.262761,0.06228357,-0.04413102,-0.0002099933
Focus3,FirstBigTest,2022-05-11T15:07:07,-0.07339709,1.252212,1.296661,0.06248184,-0.04942447,-0.001119349
Focus3,FirstBigTest,2022-05-11T15:07:08,-0.06482071,1.250832,1.324918,0.06278358,-0.05296099,-0.0002173146
Focus3,FirstBigTest,2022-05-11T15:07:08,-0.06049482,1.248428,1.33953,0.06215295,-0.05164107,-0.0006599211
Focus3,FirstBigTest,2022-05-11T15:07:08,-0.06318075,1.247986,1.344548,0.06198255,-0.05112014,-0.001245124
Focus3,FirstBigTest,2022-05-11T15:07:09,-0.06579024,1.248384,1.352208,0.0620026,-0.05057793,-0.001440978
Focus3,FirstBigTest,2022-05-11T15:07:09,-0.06653748,1.248963,1.363312,0.0619668,-0.05081306,-0.001325236
Focus3,FirstBigTest,2022-05-11T15:07:09,-0.06567886,1.249067,1.365612,0.06217822,-0.05140119,-0.001201614
Focus3,FirstBigTest,2022-05-11T15:07:10,-0.0647741,1.249069,1.365103,0.06208618,-0.05159295,-0.00126643
Focus3,FirstBigTest,2022-05-11T15:07:10,-0.06360186,1.249031,1.366692,0.06215804,-0.05203883,-0.001185722
Focus3,FirstBigTest,2022-05-11T15:07:10,-0.06300683,1.248832,1.367335,0.06215681,-0.05229884,-0.001269779
Focus3,FirstBigTest,2022-05-11T15:07:11,-0.0629738,1.248855,1.367365,0.06221988,-0.05236993,-0.001095675
Focus3,FirstBigTest,2022-05-11T15:07:11,-0.0632503,1.248807,1.36816,0.06220195,-0.05226701,-0.001015731
Focus3,FirstBigTest,2022-05-11T15:07:11,-0.06346764,1.248803,1.370171,0.06217904,-0.05096333,-0.001151484
Focus3,FirstBigTest,2022-05-11T15:07:12,-0.06397886,1.248752,1.364205,0.06227645,-0.04974233,-0.0008048115
Focus3,FirstBigTest,2022-05-11T15:07:12,-0.06438509,1.248704,1.36842,0.06214309,-0.04855474,-0.0006894615
Focus3,FirstBigTest,2022-05-11T15:07:12,-0.06455459,1.248686,1.365714,0.06215546,-0.04595444,-0.0007289015
Focus3,FirstBigTest,2022-05-11T15:07:13,-0.06469984,1.248661,1.366732,0.06233244,-0.04592587,-0.0007310802
Focus3,FirstBigTest,2022-05-11T15:07:13,-0.06465739,1.248614,1.367397,0.06211123,-0.04520157,-0.0007117615
Focus3,FirstBigTest,2022-05-11T15:07:13,-0.06444685,1.248568,1.365572,0.06222935,-0.04563977,-0.0007035659
Focus3,FirstBigTest,2022-05-11T15:07:14,-0.06452464,1.248456,1.366113,0.06221522,-0.04545701,-0.0006901172
Focus3,FirstBigTest,2022-05-11T15:07:14,-0.06469046,1.248423,1.366559,0.06228974,-0.0449539,-0.0006945606
Focus3,FirstBigTest,2022-05-11T15:07:14,-0.06460484,1.248414,1.366162,0.06225439,-0.04531284,-0.0006389699
Focus3,FirstBigTest,2022-05-11T15:07:15,-0.06483192,1.248331,1.366941,0.06209366,-0.04491038,-0.0007406012
Focus3,FirstBigTest,2022-05-11T15:07:15,-0.06473129,1.248357,1.367,0.06228388,-0.04448593,-0.0006915439
Focus3,FirstBigTest,2022-05-11T15:07:15,-0.06465818,1.248383,1.366346,0.06230444,-0.04322587,-0.0005154395
Focus3,FirstBigTest,2022-05-11T15:07:16,-0.06458115,1.248292,1.364157,0.06230547,-0.04401405,-0.0004898169
Focus3,FirstBigTest,2022-05-11T15:07:16,-0.06469589,1.248295,1.366497,0.06217865,-0.04362377,-0.0005893533
Focus3,FirstBigTest,2022-05-11T15:07:16,-0.06472099,1.248271,1.36592,0.0623345,-0.04357018,-0.0005720418
Focus3,FirstBigTest,2022-05-11T15:07:17,-0.06445904,1.248207,1.365117,0.06219121,-0.04428764,-0.0005901217
Focus3,FirstBigTest,2022-05-11T15:07:17,-0.06455848,1.248236,1.365376,0.06235216,-0.04433513,-0.0006410532
Focus3,FirstBigTest,2022-05-11T15:07:17,-0.06462236,1.248094,1.365898,0.06217619,-0.04417226,-0.0005699968
Focus3,FirstBigTest,2022-05-11T15:07:18,-0.06455029,1.248035,1.365981,0.06227359,-0.04409952,-0.0006419188
Focus3,FirstBigTest,2022-05-11T15:07:18,-0.06467013,1.248021,1.366231,0.06213841,-0.04402189,-0.0005619631
Focus3,FirstBigTest,2022-05-11T15:07:18,-0.06472744,1.248006,1.366305,0.06218736,-0.04392231,-0.000642795
Focus3,FirstBigTest,2022-05-11T15:07:19,-0.06468923,1.247996,1.366164,0.06206951,-0.04401263,-0.0005534126
Focus3,FirstBigTest,2022-05-11T15:07:19,-0.06472964,1.247999,1.366145,0.06219271,-0.04410005,-0.0005740324
Focus3,FirstBigTest,2022-05-11T15:07:19,-0.06465949,1.247983,1.366164,0.06215061,-0.04412239,-0.0005505093
Focus3,FirstBigTest,2022-05-11T15:07:20,-0.064617,1.248015,1.366258,0.062162,-0.04410794,-0.0005467442
Focus3,FirstBigTest,2022-05-11T15:07:20,-0.06462018,1.247986,1.366261,0.06219708,-0.0441522,-0.0006128369
Focus3,FirstBigTest,2022-05-11T15:07:20,-0.0646134,1.247869,1.365899,0.06198309,-0.04396768,-0.0005525309
Focus3,FirstBigTest,2022-05-11T15:07:21,-0.06459451,1.247928,1.366106,0.06215676,-0.04422254,-0.0005535364
Focus3,FirstBigTest,2022-05-11T15:07:21,-0.06450523,1.247914,1.366122,0.06215482,-0.04413633,-0.0005916026
Focus3,FirstBigTest,2022-05-11T15:07:21,-0.06465573,1.247787,1.365917,0.06252209,-0.04408913,-0.0006182718
Focus3,FirstBigTest,2022-05-11T15:07:22,-0.06464048,1.247677,1.366065,0.06223107,-0.04417016,-0.0006001609
Focus3,FirstBigTest,2022-05-11T15:07:22,-0.06463439,1.247713,1.366106,0.06222008,-0.04418567,-0.0005358884
Focus3,FirstBigTest,2022-05-11T15:07:22,-0.06457476,1.247727,1.366106,0.06233565,-0.04417602,-0.000552107
Focus3,FirstBigTest,2022-05-11T15:07:23,-0.06452895,1.247704,1.366065,0.06232559,-0.04416793,-0.0005105832
Focus3,FirstBigTest,2022-05-11T15:07:23,-0.06453294,1.247663,1.366059,0.06230887,-0.04414739,-0.0004897168
