Device,TestName,Date,X-Position,Y-Position,Z-Position,X-Rotation,Y-Rotation,Z-Rotation
Focus3,FirstBigTest,2022-05-11T15:06:43,-0.6105912,1.250245,-3.116967,0.06461899,-0.03969999,0.002595321
Focus3,FirstBigTest,2022-05-11T15:06:43,-0.6105924,1.250246,-3.116954,0.06467588,-0.03969277,0.002633736
Focus3,FirstBigTest,2022-05-11T15:06:43,-0.610613,1.250224,-3.116964,0.06474729,-0.03972387,0.002603533
Focus3,FirstBigTest,2022-05-11T15:06:43,-0.6105968,1.250198,-3.11685,0.06465692,-0.03971428,0.002572953
Focus3,FirstBigTest,2022-05-11T15:06:43,-0.6105826,1.250197,-3.116777,0.06456135,-0.03966874,0.002574363
Focus3,FirstBigTest,2022-05-11T15:06:43,-0.6105717,1.250161,-3.116703,0.06461649,-0.03969536,0.002599216
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6105755,1.250167,-3.116719,0.06470613,-0.03979381,0.002676664
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106425,1.250177,-3.116739,0.06473931,-0.03971413,0.002595375
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106446,1.250176,-3.116773,0.06470004,-0.03966216,0.002607672
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106783,1.250173,-3.116831,0.06466162,-0.03971173,0.002646796
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106722,1.250185,-3.116898,0.06472497,-0.03969253,0.002675897
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106716,1.250201,-3.116969,0.06479257,-0.03967352,0.002683729
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106766,1.25022,-3.116967,0.06478491,-0.03966178,0.002654553
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106868,1.250223,-3.11698,0.06475351,-0.0396354,0.00265732
Focus3,FirstBigTest,2022-05-11T15:06:44,-0.6106763,1.250214,-3.116972,0.06463882,-0.03968452,0.002662734
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6106842,1.250217,-3.116992,0.06462064,-0.0396832,0.002671278
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6106758,1.250233,-3.117014,0.06472461,-0.03971775,0.002674924
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6106509,1.250257,-3.117013,0.06476278,-0.03968389,0.002663676
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6106278,1.25026,-3.116954,0.06473411,-0.03969448,0.002669993
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6106257,1.250242,-3.11694,0.06468699,-0.03968141,0.002687691
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6106122,1.250237,-3.116927,0.06466118,-0.03968716,0.002632021
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6105612,1.250253,-3.116973,0.06474987,-0.0396781,0.002704784
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6105334,1.250245,-3.116984,0.06474344,-0.03968409,0.002644989
Focus3,FirstBigTest,2022-05-11T15:06:45,-0.6105536,1.250252,-3.116967,0.0647113,-0.03970613,0.002637005
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6105626,1.250235,-3.116911,0.06466472,-0.03967627,0.002618102
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6105422,1.250224,-3.116942,0.06469599,-0.03967524,0.002615831
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6105689,1.250231,-3.116951,0.06477044,-0.03974171,0.002616543
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6105766,1.250228,-3.116976,0.06482245,-0.0397093,0.002588904
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6106017,1.250211,-3.116955,0.06473725,-0.03967321,0.002660467
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.610649,1.250221,-3.116943,0.06464827,-0.03970287,0.002647662
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6107233,1.250221,-3.116927,0.06467692,-0.03971528,0.002679628
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6107282,1.250213,-3.116977,0.06481521,-0.03968032,0.002646711
Focus3,FirstBigTest,2022-05-11T15:06:46,-0.6107067,1.250224,-3.116987,0.06482318,-0.03970287,0.002727123
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6106771,1.250206,-3.116997,0.06476966,-0.03967848,0.00264668
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6106586,1.250201,-3.116976,0.06468653,-0.0396916,0.002657607
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.610672,1.250208,-3.116967,0.06472691,-0.03971951,0.002645537
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6106997,1.250216,-3.117057,0.06481264,-0.03967281,0.002668341
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6107336,1.250223,-3.11711,0.0648849,-0.03972879,0.002675456
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6107442,1.25023,-3.1171,0.06474403,-0.03976398,0.002687851
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6107225,1.250216,-3.117061,0.06471093,-0.03969853,0.00270866
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6107099,1.250251,-3.117069,0.06469669,-0.03975118,0.002757002
Focus3,FirstBigTest,2022-05-11T15:06:47,-0.6107059,1.250246,-3.11711,0.06485483,-0.03975302,0.002721542
Focus3,FirstBigTest,2022-05-11T15:06:48,-0.6106951,1.250261,-3.117134,0.06482778,-0.03979612,0.002736957
Focus3,FirstBigTest,2022-05-11T15:06:48,-0.6106477,1.250241,-3.117134,0.06473758,-0.0397539,0.002724998
Focus3,FirstBigTest,2022-05-11T15:06:48,-0.6106541,1.25024,-3.117114,0.06465296,-0.03974907,0.002722258
Focus3,FirstBigTest,2022-05-11T15:06:48,-0.6106204,1.250218,-3.11711,0.06468685,-0.03972546,0.002745015
