Device,TestName,Date,X-Position1,Y-Position1,Z-Position1,X-Rotation1,Y-Rotation1,Z-Rotation2,X-Position2,Y-Position2,Z-Position2,X-Rotation2,Y-Rotation2,Z-Rotation2,X-Position3,Y-Position3,Z-Position3,X-Rotation3,Y-Rotation3,Z-Rotation3
Trackers,FirstBigTest,2022-05-11T15:06:42,0.5674425,-1.043306,6.648065,-0.6881493,0.1944621,0.1881446,1.075944,-1.32048,7.141779,-0.6971076,0.1595502,0.1679053,0.7139523,-1.321744,7.337864,-0.6969978,0.175081,0.1741598
Trackers,FirstBigTest,2022-05-11T15:06:42,0.5674933,-1.043359,6.648027,-0.688079,0.194567,0.1881412,1.075915,-1.320454,7.141519,-0.6974213,0.159573,0.1672942,0.7137783,-1.321233,7.338286,-0.6978241,0.1742069,0.1741122
Trackers,FirstBigTest,2022-05-11T15:06:42,0.5675405,-1.043216,6.648105,-0.6880152,0.1943807,0.1881487,1.075925,-1.32034,7.141775,-0.6972422,0.1598148,0.167464,0.7137865,-1.321319,7.338278,-0.6982871,0.1736567,0.174144
Trackers,FirstBigTest,2022-05-11T15:06:43,0.5675206,-1.043359,6.648179,-0.6879669,0.1945317,0.1881802,1.075981,-1.320596,7.141878,-0.6970502,0.1597695,0.1677424,0.7140002,-1.321677,7.337969,-0.6976973,0.1743384,0.1741852
Trackers,FirstBigTest,2022-05-11T15:06:43,0.5675094,-1.043287,6.648035,-0.6881456,0.1944036,0.1880676,1.076072,-1.320611,7.141894,-0.697463,0.1597092,0.1672272,0.7138718,-1.321373,7.338285,-0.6979864,0.1740715,0.1741899
Trackers,FirstBigTest,2022-05-11T15:06:43,0.5674772,-1.043313,6.648072,-0.6880841,0.1944766,0.1882613,1.076033,-1.32076,7.142127,-0.6973832,0.1598393,0.1669523,0.7139602,-1.321849,7.337833,-0.6979589,0.1742941,0.1741289
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5674375,-1.043305,6.648126,-0.6881373,0.1944827,0.1882229,1.07585,-1.320364,7.141672,-0.6973794,0.159842,0.1672338,0.7138131,-1.321415,7.338212,-0.6972134,0.1747193,0.1741822
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5675751,-1.043254,6.648051,-0.688217,0.1945506,0.1880674,1.076027,-1.32052,7.141761,-0.69728,0.1597465,0.1675327,0.7138832,-1.32141,7.338247,-0.6971178,0.1748039,0.174392
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5673845,-1.043257,6.648072,-0.6882561,0.1945859,0.1879176,1.075858,-1.32053,7.141928,-0.6971919,0.1597253,0.1677123,0.713737,-1.321303,7.338269,-0.6974529,0.1746584,0.1739733
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5674783,-1.043367,6.648102,-0.6883518,0.1944781,0.1881234,1.075913,-1.320393,7.141869,-0.6972156,0.1597199,0.1674992,0.7141905,-1.322105,7.337842,-0.697633,0.1748059,0.1742948
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5674947,-1.043228,6.648025,-0.6882806,0.1945533,0.188142,1.075931,-1.320264,7.141766,-0.6972108,0.1597185,0.1674929,0.7138465,-1.321545,7.338208,-0.6974473,0.174818,0.1741377
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5675464,-1.043329,6.648025,-0.6881229,0.1945947,0.1880837,1.075974,-1.320447,7.141832,-0.697329,0.1597571,0.1674853,0.7138347,-1.321365,7.338259,-0.6974075,0.1746379,0.1740405
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674113,-1.043187,6.648084,-0.6880671,0.1945272,0.1881384,1.075859,-1.320317,7.142107,-0.697152,0.1595668,0.1677186,0.7139361,-1.321737,7.337972,-0.6970429,0.174896,0.1741735
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5675343,-1.043239,6.648094,-0.6881013,0.194464,0.1880922,1.075733,-1.320321,7.141817,-0.6972259,0.1597544,0.167358,0.713807,-1.321512,7.338209,-0.6971945,0.1748957,0.1741492
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674916,-1.043285,6.648008,-0.6882446,0.1944788,0.1879894,1.075804,-1.320409,7.141897,-0.6971827,0.159768,0.1675587,0.7138647,-1.321344,7.338108,-0.6979998,0.1742718,0.173802
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5674948,-1.043359,6.648079,-0.6881869,0.1945169,0.1881732,1.075877,-1.320407,7.141919,-0.6973252,0.1596799,0.1672705,0.7138445,-1.321339,7.338281,-0.69824,0.173971,0.1738922
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5674559,-1.043203,6.648109,-0.6882094,0.1944428,0.188202,1.075612,-1.320441,7.142124,-0.697033,0.1596943,0.1677137,0.714053,-1.321883,7.337839,-0.6980505,0.1742178,0.1741881
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5674736,-1.043317,6.648059,-0.6881779,0.1944583,0.1881995,1.075776,-1.320253,7.141955,-0.6971191,0.1596533,0.1676311,0.7138764,-1.321433,7.338132,-0.6974877,0.1746967,0.1743488
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5676016,-1.043408,6.648126,-0.6880378,0.1945919,0.1879579,1.075812,-1.320346,7.142146,-0.6974211,0.1596033,0.1672273,0.7138,-1.321455,7.338288,-0.6979281,0.1741605,0.1740257
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5674554,-1.043359,6.648007,-0.6881257,0.1945781,0.1882034,1.075892,-1.320441,7.142066,-0.697505,0.1596437,0.1674586,0.713944,-1.321667,7.337856,-0.6975657,0.1745224,0.1742845
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5675155,-1.043334,6.647948,-0.6880779,0.1944825,0.1880677,1.075835,-1.320563,7.142203,-0.6974838,0.1595579,0.1671823,0.7138176,-1.321464,7.338137,-0.6982419,0.1737218,0.174208
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5674889,-1.043333,6.647935,-0.6879854,0.194471,0.1879362,1.075816,-1.320381,7.141961,-0.6971976,0.159649,0.1677308,0.7138102,-1.32138,7.338198,-0.6985109,0.1736472,0.1742089
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5674679,-1.043375,6.648007,-0.6881579,0.1944942,0.1880159,1.07591,-1.320562,7.142276,-0.6975831,0.1595689,0.1672595,0.7137086,-1.321165,7.338146,-0.6980903,0.1742486,0.1742729
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5674844,-1.043434,6.648095,-0.6880019,0.1944362,0.1879892,1.075813,-1.32036,7.142084,-0.6976755,0.159653,0.1670287,0.7138275,-1.321334,7.338196,-0.6977291,0.1743011,0.174487
Trackers,FirstBigTest,2022-05-11T15:06:50,0.567508,-1.043393,6.64799,-0.6881922,0.1942912,0.1882652,1.075714,-1.320224,7.14212,-0.6973688,0.1598693,0.1673465,0.7136576,-1.321242,7.338186,-0.6978669,0.1738758,0.1746005
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5675325,-1.043295,6.648068,-0.6882687,0.1944075,0.188261,1.075813,-1.320367,7.142383,-0.6971647,0.159703,0.1676889,0.7139204,-1.321579,7.338032,-0.6972839,0.1749205,0.174393
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5674493,-1.043252,6.648091,-0.6881964,0.1943829,0.1882348,1.075691,-1.320367,7.141944,-0.697395,0.1597883,0.167242,0.7137959,-1.321526,7.33812,-0.6977838,0.1744793,0.1740543
Trackers,FirstBigTest,2022-05-11T15:06:51,0.5674564,-1.043251,6.648103,-0.6882985,0.1943374,0.1881699,1.07576,-1.320252,7.142208,-0.69682,0.1598125,0.1678161,0.7138225,-1.321463,7.338179,-0.6974465,0.1744357,0.1745065
