Device,TestName,Date,X-Position1,Y-Position1,Z-Position1,X-Rotation1,Y-Rotation1,Z-Rotation2,X-Position2,Y-Position2,Z-Position2,X-Rotation2,Y-Rotation2,Z-Rotation2,X-Position3,Y-Position3,Z-Position3,X-Rotation3,Y-Rotation3,Z-Rotation3
Trackers,FirstBigTest,2022-05-11T15:06:43,0.5674214,-1.043273,6.648088,-0.688073,0.1945298,0.1880424,1.075993,-1.320686,7.142075,-0.69722,0.1597933,0.1676211,0.7137532,-1.321255,7.338158,-0.6982618,0.1737501,0.1742156
Trackers,FirstBigTest,2022-05-11T15:06:43,0.5674611,-1.043261,6.648067,-0.6880715,0.1943901,0.1880171,1.075873,-1.320715,7.1417,-0.6974123,0.1597007,0.1671946,0.713748,-1.321134,7.338287,-0.698062,0.1739691,0.1743301
Trackers,FirstBigTest,2022-05-11T15:06:43,0.5674531,-1.043284,6.648131,-0.688125,0.1944509,0.1880979,1.076054,-1.320558,7.142063,-0.6973191,0.1597369,0.167368,0.7137653,-1.321381,7.337993,-0.6977584,0.1742487,0.1744894
Trackers,FirstBigTest,2022-05-11T15:06:43,0.5675344,-1.043306,6.648058,-0.6881873,0.1944607,0.1882139,1.076035,-1.320604,7.141975,-0.6974976,0.1597557,0.1670031,0.7137267,-1.321318,7.338349,-0.6981378,0.1740308,0.1741589
Trackers,FirstBigTest,2022-05-11T15:06:43,0.567574,-1.043256,6.648066,-0.6881591,0.1945255,0.1882394,1.075983,-1.320584,7.141826,-0.6974258,0.1597532,0.1670153,0.7138669,-1.32126,7.338345,-0.698036,0.1740163,0.1740757
Trackers,FirstBigTest,2022-05-11T15:06:43,0.5674443,-1.043219,6.648105,-0.688163,0.1944869,0.1882311,1.075815,-1.320408,7.141923,-0.6972552,0.1598745,0.1674893,0.7139173,-1.321457,7.338327,-0.6975548,0.174561,0.1742356
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5674331,-1.043298,6.648129,-0.6881609,0.1944775,0.1882568,1.075984,-1.320621,7.142074,-0.6974216,0.1598681,0.1671792,0.7137405,-1.321181,7.338279,-0.6972038,0.1748617,0.1742333
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5674731,-1.043313,6.648108,-0.6880807,0.1945905,0.1880864,1.07595,-1.320681,7.142197,-0.6973778,0.1598635,0.1673204,0.7136609,-1.321136,7.338248,-0.6973943,0.1745028,0.174164
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5675059,-1.043247,6.648146,-0.6881288,0.1946159,0.1879669,1.075866,-1.320541,7.142164,-0.6973104,0.159818,0.1674923,0.7137503,-1.32115,7.338574,-0.697404,0.1745003,0.1741123
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5675561,-1.043234,6.648061,-0.6881837,0.1945419,0.1881327,1.075809,-1.320308,7.141612,-0.6974267,0.159743,0.1674033,0.7139666,-1.321659,7.337727,-0.6973803,0.1745653,0.1743314
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5675083,-1.043296,6.648061,-0.6882493,0.1946479,0.1880804,1.07581,-1.320544,7.141961,-0.6972309,0.1597547,0.167682,0.7136907,-1.32121,7.338357,-0.6972867,0.1746062,0.1742321
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5674807,-1.043289,6.648094,-0.6882041,0.1945603,0.1880796,1.075821,-1.320547,7.141959,-0.6970627,0.1598564,0.1679592,0.7138831,-1.321325,7.338328,-0.6971021,0.1749265,0.1741759
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5675249,-1.043324,6.64812,-0.6883212,0.1945305,0.188071,1.075958,-1.320474,7.141937,-0.6970994,0.1598256,0.1678665,0.7137796,-1.321247,7.338367,-0.6972053,0.1748892,0.1740269
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5674436,-1.043377,6.648127,-0.6882704,0.1945258,0.1880781,1.075861,-1.32038,7.141723,-0.6970816,0.1597665,0.1677454,0.713727,-1.321314,7.3381,-0.6975288,0.1745837,0.1740226
Trackers,FirstBigTest,2022-05-11T15:06:44,0.5674371,-1.043342,6.648108,-0.6882646,0.1945582,0.1880635,1.07579,-1.320363,7.141845,-0.6972072,0.1597183,0.1675176,0.7140101,-1.321803,7.337852,-0.6974597,0.1748639,0.1742868
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5674898,-1.043296,6.648108,-0.6882694,0.1945905,0.1880613,1.075991,-1.320751,7.142167,-0.6973231,0.1596899,0.1672405,0.7137272,-1.321235,7.33834,-0.6977951,0.1743849,0.174332
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5674744,-1.043332,6.648092,-0.6882897,0.1944923,0.1880486,1.075925,-1.320365,7.141901,-0.6970962,0.159702,0.1675949,0.7138236,-1.321269,7.338318,-0.6977878,0.1743333,0.1742679
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5675925,-1.043307,6.648038,-0.6882493,0.1945456,0.1880186,1.075919,-1.320601,7.142111,-0.6971442,0.159642,0.1674575,0.7140372,-1.321699,7.338276,-0.6977049,0.1745941,0.1741318
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5674423,-1.043404,6.64812,-0.6882457,0.1945915,0.188117,1.075949,-1.320462,7.142085,-0.6973665,0.1597187,0.1671927,0.7138415,-1.321314,7.338317,-0.698045,0.1741884,0.1740385
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5674708,-1.043214,6.64803,-0.6882368,0.194538,0.1881015,1.075926,-1.320484,7.141973,-0.6972368,0.1597948,0.1674026,0.7137143,-1.321467,7.337754,-0.6971577,0.174993,0.1743679
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5674554,-1.043375,6.648017,-0.6882091,0.1944335,0.1881921,1.075707,-1.320355,7.141825,-0.697197,0.1597995,0.1673867,0.7137634,-1.3213,7.33835,-0.6973678,0.1746021,0.1741703
Trackers,FirstBigTest,2022-05-11T15:06:45,0.567565,-1.043326,6.648103,-0.6881594,0.1945315,0.1881347,1.075965,-1.320454,7.141808,-0.69745,0.159794,0.1672301,0.7138144,-1.321398,7.338006,-0.6974485,0.1745187,0.1740569
Trackers,FirstBigTest,2022-05-11T15:06:45,0.567504,-1.043345,6.648118,-0.688077,0.1946707,0.1881245,1.075857,-1.320438,7.141985,-0.6972234,0.1596866,0.1676817,0.7138419,-1.321386,7.338255,-0.6972577,0.1747123,0.1740551
Trackers,FirstBigTest,2022-05-11T15:06:45,0.5675849,-1.043157,6.648084,-0.6881152,0.1946604,0.1880598,1.075933,-1.320266,7.141892,-0.6972341,0.1596327,0.1675986,0.7140825,-1.32181,7.337949,-0.6971229,0.1748724,0.1739663
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674642,-1.043261,6.648014,-0.6881472,0.1945071,0.1881084,1.075878,-1.320282,7.142002,-0.6971392,0.1595703,0.1678005,0.7136902,-1.32126,7.338343,-0.697218,0.1747394,0.1739824
Trackers,FirstBigTest,2022-05-11T15:06:46,0.567478,-1.043299,6.648041,-0.6880889,0.1944852,0.1881865,1.075844,-1.320419,7.141962,-0.697223,0.159603,0.1676516,0.7137624,-1.321312,7.338253,-0.6971843,0.1746161,0.1741599
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674455,-1.043345,6.648093,-0.6880279,0.1945008,0.188135,1.075856,-1.320374,7.142009,-0.6970949,0.1598198,0.167826,0.7136958,-1.321247,7.338225,-0.6973072,0.1746296,0.1741161
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674973,-1.043238,6.648153,-0.6880841,0.1944602,0.1882007,1.075834,-1.32058,7.14224,-0.69715,0.1597136,0.1676269,0.7140395,-1.321833,7.337916,-0.6973016,0.174751,0.1741528
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674751,-1.043313,6.648028,-0.6881414,0.1944899,0.1881092,1.075853,-1.320249,7.141831,-0.6972648,0.1597545,0.1673289,0.7139087,-1.321567,7.33809,-0.6970832,0.1750199,0.1741247
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5675176,-1.043328,6.648034,-0.6881765,0.1946042,0.1880443,1.075815,-1.320526,7.14204,-0.6973914,0.1596898,0.1670595,0.7137083,-1.321292,7.338326,-0.6973089,0.1749193,0.1740255
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674761,-1.043256,6.648108,-0.6882643,0.1944462,0.1879476,1.075749,-1.320323,7.141938,-0.6972263,0.1597606,0.1673227,0.713837,-1.321366,7.338352,-0.6978064,0.1743888,0.1738187
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674493,-1.04331,6.648083,-0.6881923,0.1945087,0.18804,1.075892,-1.320485,7.142148,-0.6972234,0.1597296,0.1674133,0.713866,-1.321533,7.338036,-0.6977788,0.1745624,0.1739221
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674502,-1.043264,6.648094,-0.6882652,0.1944342,0.1880346,1.075741,-1.320195,7.141791,-0.6973351,0.1596832,0.167309,0.7136562,-1.321275,7.338332,-0.6978463,0.1742875,0.1738546
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5675034,-1.043401,6.648065,-0.6882173,0.1944295,0.1881883,1.075918,-1.320398,7.142123,-0.697355,0.1597181,0.1673216,0.7137324,-1.321377,7.338146,-0.6981131,0.1741018,0.1739127
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5673957,-1.043274,6.648026,-0.688239,0.1944615,0.1881738,1.07575,-1.320302,7.141835,-0.6972584,0.159741,0.1674384,0.7137145,-1.321407,7.338271,-0.6983798,0.1738108,0.1738876
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5674138,-1.043211,6.648064,-0.6881422,0.1945271,0.1881953,1.075756,-1.320298,7.141935,-0.6972036,0.1596585,0.1676396,0.7139481,-1.321763,7.337826,-0.6981941,0.1741514,0.17402
